Degree;Field;Study_program;University;City
Bachelor Degree;Agriculture, Forestry and Nutritional Sciences;Environmental and Resource Management (BSc);Brandenburg University of Technology Cottbus-Senftenberg;Cottbus
Bachelor Degree;Agriculture, Forestry and Nutritional Sciences;Food Technology;Fulda University of Applied Sciences;Fulda
Bachelor Degree;Agriculture, Forestry and Nutritional Sciences;Bachelor of Science in International Wine Business;Hochschule Geisenheim University;Geisenheim
Bachelor Degree;Agriculture, Forestry and Nutritional Sciences;Ecosystem Sciences (BSc);University of Goettingen;Goettingen
Bachelor Degree;Agriculture, Forestry and Nutritional Sciences;Environment and Energy, BSc;Rhine-Waal University of Applied Sciences;Kamp-Lintfort
Bachelor Degree;Agriculture, Forestry and Nutritional Sciences;Sustainable Agriculture BSc;Rhine-Waal University of Applied Sciences;Kleve
Bachelor Degree;Agriculture, Forestry and Nutritional Sciences;Agribusiness BA;Rhine-Waal University of Applied Sciences;Kleve
Bachelor Degree;Agriculture, Forestry and Nutritional Sciences;Global Environmental and Sustainability Studies (BSc);Leuphana University Lueneburg;Lueneburg
Bachelor Degree;Art, Art Theory;African Verbal and Visual Arts: Languages, Literatures, Media and Art (BA);University of Bayreuth;Bayreuth
Bachelor Degree;Art, Art Theory;Bachelor of Arts in Animation and Game;Darmstadt University of Applied Sciences;Dieburg
Bachelor Degree;Art, Art Theory;Expanded Realities (BA);Darmstadt University of Applied Sciences;Dieburg
Bachelor Degree;Art, Art Theory;BA European Cultures and Society (EUCS);Europa-Universitaet Flensburg;Flensburg
Bachelor Degree;Art, Art Theory;Information and Communication Design, BA;Rhine-Waal University of Applied Sciences;Kamp-Lintfort
Bachelor Degree;Art, Art Theory;Digital Games (Bachelor of Arts);TH Koeln (University of Applied Sciences);Koeln
Bachelor Degree;Art, Art Theory;Digital Media (BA);Leuphana University Lueneburg;Lueneburg
Bachelor Degree;Engineering;Environmental and Resource Management (BSc);Brandenburg University of Technology Cottbus-Senftenberg;Cottbus
Bachelor Degree;Engineering;Expanded Realities (BA);Darmstadt University of Applied Sciences;Dieburg
Bachelor Degree;Engineering;Sustainable Industrial Operations and Business;Landshut University of Applied Sciences;Dingolfing
Bachelor Degree;Engineering;Clean Energy Processes;FAU Erlangen-Nuernberg;Erlangen
Bachelor Degree;Engineering;BSc Autonomy Technologies;FAU Erlangen-Nuernberg;Erlangen
Bachelor Degree;Engineering;Food Technology;Fulda University of Applied Sciences;Fulda
Bachelor Degree;Engineering;Engineering Science;Hamburg University of Technology;Hamburg
Bachelor Degree;Engineering;BSc Information Engineering;Hamburg University of Applied Sciences;Hamburg
Bachelor Degree;Engineering;Electronic Engineering;Hamm-Lippstadt University of Applied Sciences;Hamm
Bachelor Degree;Engineering;Bachelor's in Management & Technology (BSc) – Heilbronn;Technical University Munich;Heilbronn
