university;study_programme
Hult International Business School;Global One-Year Business Administration
American InterContinental University - London;Visual Communication
University of Bristol;Nanoscience and Functional Nanomaterials
Hult International Business School;Social Entrepreneurship
University of East Anglia;Law with American Law
Bangor University;Public Health and Health Promotion
Nottingham Trent University;International Business
American InterContinental University - London;Interior Design
University Campus Suffolk;Criminology and Sociology
American InterContinental University - London;Visual Communication: Concentration in Graphic Design
Bournemouth University;Communication and Media
University of Sheffield;Orthodontics
American InterContinental University - London;Fashion Marketing
University of Essex;Management and Marketing (including Year Abroad)
Imperial College London;Biochemistry with Management and a Year in Industry and Research
University of East Anglia;Management
American InterContinental University - London;Fashion Marketing and Design
American InterContinental University - London;International Business
Metropolitan University;Business
American InterContinental University - London;Fashion Marketing and Design: Specialization in Fashion Design
Kingston University;Criminological Psychology
University of Manchester;Oral and Maxillofacial Surgery
American InterContinental University - London;Visual Communication: Concentration in Illustration
University of Southampton;Music (Performance, Composition, Musicology)
Imperial College London;Bio and Biomedical Engineering
The Robert Gordon University;Physiotherapy
Bournemouth University;Law
Glasgow Caledonian University;Human Nutrition and Dietetics
University of Bristol;Dental Postgraduate studies (DPDS)
Imperial College London;Biomedical Engineering
University of Glasgow;Adult and Continuing Education
Glasgow Caledonian University;Advanced Nursing
University of East Anglia;Geography and International Development
Anglia Ruskin University;International Management Practice
University of Stirling;Psychological Research Methods
University of Glasgow;Intellectual Property and the Digital Economy
Brunel University Uxbridge;Law
University of Greenwich;Geography
Hult International Business School;International Business
University of Southampton;Film and Cultural Management
Cardiff University;Physical Organic Chemistry
Brunel University Uxbridge;Finance and Investment
University of Dundee;Dentistry
King's College London;Endodontics
University of Leeds;Global Development
Imperial College London;Advanced Computational Methods for Aeronautics, Flow Management and Fluid-Structure Interaction
Hult International Business School;Global Executive MBA
University of Birmingham;Leadership and Management for Social Work
University of Southampton;Business and Heritage Management
Bangor University;Sport and Exercise Psychology (BPS Accredited)
Brunel University Uxbridge;Law
Bournemouth University;Foundations of Clinical Psychology
University of East Anglia;Biomedicine
University of Nottingham;Counselling Children and Young People
Imperial College London;Molecular Medicine
University of St. Andrews;Astrophysics
University of London;Prosthodontics
University of Glasgow;International Competition Law and Policy
University of Southampton;Accounting and Finance
Coventry University;Illustration and Animation
Imperial College London;Aeronautical Engineering
University of Glasgow;Law
University of Edinburgh;Criminology and Criminal Justice
University of Teesside;Physiotherapy Studies
Coventry University;Criminology and Law
Brunel University Uxbridge;Business Computing (Social Media)
University of Bristol;Education
University of Glasgow;International Relations
University of Southampton;Health Science (Health and Rehabilitation)
University of Leeds;Gender Studies
University of Oxford;Integrated Immunology
Metropolitan University;Sciences
Glasgow Caledonian University;Clinical Nutrition and Health
Kingston University;Criminology
University of Birmingham;International Business
University of Southampton;Linguistics
Oxford Brookes University;English Language and Study Skills
University of Bristol;Educational Psychology
University of Leeds;Law and Finance
Imperial College London;Chemistry with Molecular Physics
Northumbria University London Campus;Project Management
Kingston University;Film Making
University of Kent at Canterbury;Social Sciences
University of Greenwich;Creative Music Production and Technology
Oxford Brookes University;Accounting and Finance
Bournemouth University;Retail Management
The Robert Gordon University;Fashion Management
The Queen's University Belfast;Applied Psychology (Clinical Specialism)
University of Birmingham;Exercise and Sports Medicine (Football)
Sheffield Hallam University;Advanced Mechanical Engineering
University of Lincoln;Pharmacy
Glasgow Caledonian University;Forensic Investigation
Anglia Ruskin University;International Finance
University of Leicester;Social Change and Resistance
Cardiff University;Knowledge, Science and Technology
University of Greenwich;Nursing (Pre-Registration) — Learning Disability
University of Oxford;Business Administration Oxford 1 plus 1
University of Birmingham;Geography Joint Honours
Cardiff University;Ancient History
Brunel University Uxbridge;Business Computing
University of Sheffield;Paediatric Dentistry
Cardiff University;Ageing, Health and Disease
University of Bristol;Translational Cardiovascular Medicine
Imperial College London;Biotechnology with a Year in Industry and Research
University of London;Shakespeare
University of London;Investment and Finance (Pathway Option: CISI Specialist in Wealth Management)
Bournemouth University;International Commercial Law
University of Greenwich;Community Public Health (Health Visiting and School Nursing) (Top-up)
University of Bristol;Translation
University of Northampton;Transpersonal Psychology and Consciousness Studies
King's College London;Family Therapy
Bournemouth University;Business Studies with Law
University of Edinburgh;Biochemistry
Durham University;Management
University College London;Engineering (Biochemical)
University of Cambridge;Psychological and Behavioural Sciences
University of Dundee;International Business and Finance
University of Oxford;Biodiversity, Conservation and Management
Kingston University;Applied Linguistics for Language Teaching
Heythrop College;Biblical Studies
University of York;Music Technology
Metropolitan University;Animation
Anglia Ruskin University;Financial Management Practice
School of Oriental and African Studies;Chinese Studies
Imperial College London;Finance
University of East Anglia;Geography and International Development with Overseas Experience
University of East Anglia;Accounting with Management
Heythrop College;Philosophy in Education
Imperial College London;Advanced Aeronautical Engineering
Bangor University;Philosophy and Religion
University of Southampton;Education Practice and Innovation
University of East Anglia;Midwifery
Bournemouth University;Forensic Toxicology by Research
University of Bristol;Civil Engineering
University of Huddersfield;3D Digital Design
Imperial College London;Chemical Engineering
University of Manchester;Constructions of the Sacred, the Holy and the Supernatural
University of Bath;TESOL
Imperial College London;Physics with Science Education
Imperial College London;Physics
University of Edinburgh;Nursing Studies
University of Cambridge;Veterinary Medicine
University of Southampton;Web Technology
Southampton Solent University;Fashion Merchandise Management
University of Bedfordshire;Social Work
Anglia Ruskin University;Marketing and Innovation
Kingston University;Music Education
University of St. Andrews;Computer Science
Cardiff University;Audience and Fan Studies
University of Teesside;Forensic Science
Imperial College London;Biomedical Engineering with Biomaterials
King's College London;Advanced Minimum Intervention Dentistry
University of Essex;Refugee Care
Anglia Ruskin University;International Sustainable Tourism Management
Glasgow Caledonian University;Pharmacology
Nottingham Trent University;International Business
University of Essex;Accounting and Finance
University of London;Computer and Communications Law
University Campus Suffolk;Nutrition and Human Health
University Campus Suffolk;Social Work
Brunel University Uxbridge;Medical Anthropology
Bournemouth University;Accounting and Business
Bournemouth University;Advertising
University of Manchester;Organisational Psychology
Anglia Ruskin University;Arts Management
The University of Buckingham;Marketing with French
University of Leicester;Urban History
Heriot-Watt University;European Strategic Project Management (MSPME)
Institute of Education;Education, Gender and International Development
Birkbeck College;Computing and Information Systems
University of Manchester;Pharmaceutical Engineering Advanced Training
School of Oriental and African Studies;Gender Studies and Law
University of Greenwich;3D Digital Design and Animation
Bournemouth University;Biological Anthropology
University of Bristol;Global Political Economy: Transformations and Policy Analysis
Imperial College London;Biochemistry with Spanish for Science
King's College London;Diabetes and Nutritional Sciences
Glasgow Caledonian University;3D Computer Animation
Sheffield Hallam University;International Tourism Management
University of Edinburgh;Clinical Trials
Northumbria University London Campus;Luxury Brand Management with Advanced Practice
University of Edinburgh;Reproductive Sciences
Durham University;Accounting and Finance
Durham University;Marketing
Imperial College London;PhD
University of Bristol;Stem Cells and Regeneration
King's College London;Advanced (Neuromusculoskeletal) Physiotherapy
University of Kent at Canterbury;Italian and Drama
University of Essex;Computational Finance
University of Kent at Canterbury;Physics with a Foundation Year
Nottingham Trent University;Economics
Imperial College London;Chemistry with French for Science
University of Central Lancashire;Human Resource Management and Development
Imperial College London;Biochemistry with German for Science
Coventry University;Construction Project and Cost Management
University of Birmingham;English Language
London School of Economics and Political Science;Accounting and Finance
University of East Anglia;Medicine
Kingston University;Behavioural Decision Science
London School of Economics and Political Science;Geography
Imperial College London;Chemistry with Management and a Year in Industry
Kingston University;Design: Product, Space and the Creative Economy
University of Dundee;English Law
Glasgow Caledonian University;International Fashion Business
Glasgow Caledonian University;International Business, Fashion Marketing and Risk Management
University of Leeds;Advertising and Design
Bangor University;Advanced Clinical Practice
Bournemouth University;Industrial Design
Bournemouth University;Journalism Studies
Glasgow Caledonian University;Computer Games (Design)
University of Birmingham;Drama and Theatre Arts Joint Honours
