Spalte2	Spalte1
Agriculture, Forestry and Nutritional Sciences	Master's degree • Global Change Ecology (MSc) • University of Bayreuth • Bayreuth
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Earth Sciences (excluding Geography)
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Environment, Climate Change and Health • University of Bayreuth • Bayreuth
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Earth Sciences (excluding Geography)
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Urban Design Master's Programme • Technische Universität Berlin • Berlin
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Design
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Master of Science in Environmental Sustainability • Bingen Technical University of Applied Sciences • Bingen am Rhein
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Land Management, Environmental Architecture
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester, Summer semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	3 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Plant Sciences • University of Bonn • Bonn
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Biology
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Agricultural Sciences and Resource Management in the Tropics and Subtropics (ARTS) • University of Bonn • Bonn
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Agricultural and Food Economics (AFECO) • University of Bonn • Bonn
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester, Summer semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Environmental and Resource Management (MSc) • Brandenburg University of Technology Cottbus-Senftenberg • Cottbus
filler	University
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Bachelor's degree • Environmental and Resource Management (BSc) • Brandenburg University of Technology Cottbus-Senftenberg • Cottbus
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	6 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Urban Transformation • TU Dortmund University • Dortmund
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Town and Country Planning
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester, Summer semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	2 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Master Environmental Engineering (MEng) • HTW Dresden - University of Applied Sciences • Dresden
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Civil Engineering
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Forest Information Technology (FIT) • Eberswalde University for Sustainable Development • Eberswalde
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Computer Science
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Global Change Management (GCM) • Eberswalde University for Sustainable Development • Eberswalde
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Forestry System Transformation (FST) • Eberswalde University for Sustainable Development • Eberswalde
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Biosphere Reserves Management (BIOM) • Eberswalde University for Sustainable Development • Eberswalde
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Political Science
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Sustainable Resource Management • Technical University Munich • Freising
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
