de_university,de_county,de_fee_euro_county-change
Fachhochschule Aachen,NW,266
Rheinisch-Westfälische Technische Hochschule Aachen,NW,266
Hochschule Aalen – Technik und Wirtschaft,BW,181
Hochschule Albstadt-Sigmaringen,BW,181
Ostbayerische Technische Hochschule Amberg-Weiden,BY,128
Hochschule Anhalt – Anhalt University of Applied Sciences,ST,163
Hochschule für angewandte Wissenschaften Ansbach,BY,128
Technische Hochschule Aschaffenburg,BY,128
Technische Hochschule Augsburg,BY,128
Universität Augsburg,BY,128
Hochschule für Polizei Baden-Württemberg,BW,181
Hochschule für Rechtspflege Schwetzingen,BW,181
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,BW,181
Hochschule für öffentliche Verwaltung Kehl,BW,181
Otto-Friedrich-Universität Bamberg,BY,128
Hochschule für den öffentlichen Dienst in Bayern,BY,128
Universität Bayreuth,BY,128
Alice Salomon Hochschule Berlin,BE,314
Berliner Hochschule für Technik,BE,314
Freie Universität Berlin,BE,314
Hochschule für Musik Hanns Eisler Berlin,BE,314
Hochschule für Schauspielkunst Ernst Busch,BE,314
Hochschule für Technik und Wirtschaft Berlin,BE,314
Humboldt-Universität zu Berlin,BE,314
Hochschule für Wirtschaft und Recht Berlin,BE,314
Technische Universität Berlin,BE,314
Universität der Künste Berlin,BE,314
weißensee kunsthochschule berlin,BE,314
Hochschule Biberach,BW,181
Fachhochschule Bielefeld,NW,266
Universität Bielefeld,NW,266
Technische Hochschule Bingen,RP,190
Hochschule Bochum – University of Applied Sciences,NW,266
Hochschule für Gesundheit – University of Applied Sciences,NW,266
Ruhr-Universität Bochum,NW,266
Hochschule Bonn-Rhein-Sieg,NW,266
Rheinische Friedrich-Wilhelms-Universität Bonn,NW,266
Fachhochschule für Finanzen des Landes Brandenburg,BB,304
Hochschule der Polizei des Landes Brandenburg,BB,304
Technische Hochschule Brandenburg,BB,304
Hochschule für Bildende Künste Braunschweig,NI,390
Technische Universität Carolo-Wilhelmina zu Braunschweig,NI,390
Hochschule Bremen,HB,370
Hochschule für Künste Bremen,HB,370
Universität Bremen,HB,370
Hochschule für Öffentliche Verwaltung Bremen,HB,370
Hochschule Bremerhaven,HB,370
Hochschule des Bundes für öffentliche Verwaltung,NW,266
Technische Universität Chemnitz,SN,194
Technische Universität Clausthal,NI,390
Hochschule für angewandte Wissenschaften Coburg,BY,128
Brandenburgische Technische Universität Cottbus-Senftenberg,BB,304
Hochschule Darmstadt,HE,181
Technische Universität Darmstadt,HE,181
Technische Hochschule Deggendorf,BY,128
Hochschule für Musik Detmold,NW,266
Fachhochschule Dortmund,NW,266
Technische Universität Dortmund,NW,266
Hochschule für Bildende Künste Dresden,SN,194
Hochschule für Musik Carl Maria von Weber Dresden,SN,194
Palucca Hochschule für Tanz Dresden,SN,194
Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences,SN,194
Technische Universität Dresden,SN,194
Universität Duisburg-Essen,NW,266
Hochschule Düsseldorf,NW,266
Robert-Schumann-Hochschule Düsseldorf,NW,266
Kunstakademie Düsseldorf,NW,266
Heinrich-Heine-Universität Düsseldorf,NW,266
Hochschule für nachhaltige Entwicklung Eberswalde,BB,304
Hochschule Emden/Leer,NI,390
Fachhochschule Erfurt,TH,217
Universität Erfurt,TH,217
Friedrich-Alexander-Universität Erlangen-Nürnberg,BY,128
Folkwang Universität der Künste,NW,266
Hochschule Esslingen,BW,181
Hochschule Flensburg,SH,244
Europa-Universität Flensburg,SH,244
Frankfurt University of Applied Sciences,HE,181
Hochschule für Bildende Künste (Städelschule),HE,181
Hochschule für Musik und Darstellende Kunst Frankfurt am Main,HE,181
Johann Wolfgang Goethe-Universität Frankfurt am Main,HE,181
Europa-Universität Viadrina Frankfurt (Oder),BB,304
Technische Universität Bergakademie Freiberg,SN,194
Hochschule für Musik Freiburg im Breisgau,BW,181
Pädagogische Hochschule Freiburg,BW,181
