region;university;rent_monthly_pounds;rent_year_pounds;approx_tuition_fee_yr
East;Anglia Ruskin University;515;6180;9250
East;Barnfield College, Luton;515;6180;9250
East;University of Bedfordshire;515;6180;9250
East;Bedford College;515;6180;9250
East;University of Cambridge;515;6180;9250
East;Cambridge School of Visual & Performing Arts;515;6180;9250
East;Cambridge Regional College;515;6180;9250
East;University Centre Colchester at Colchester Institute;515;6180;9250
East;University of East Anglia (UEA);515;6180;9250
East;Easton and Otley College (an Associate College of UEA);515;6180;9250
East;Edge Hotel School;515;6180;9250
East;The University of Essex;515;6180;9250
East;University of Hertfordshire;515;6180;9250
East;Hertford Regional College;515;6180;9250
East;Norwich University Of The Arts (formerly Norwich University College of the Arts);515;6180;9250
East;North Hertfordshire College;515;6180;9250
East;Norwich City College of Further and Higher Eduction (an Associate College of UEA);515;6180;9250
East;University Centre Peterborough;515;6180;9250
East;South Essex College University Centre Southend and Thurrock;515;6180;9250
East;University of Suffolk;515;6180;9250
East;Seevic College;515;6180;9250
East;College of West Anglia;515;6180;9250
East;West Herts College Watford Associate College;515;6180;9250
East;niversity of Hertfordshire;515;6180;9250
East;Writtle University College;515;6180;9250
East Midlands;Bishop Grosseteste University;451;5412;9250
East Midlands;Brooksby Melton College;451;5412;9250
East Midlands;Central College Nottingham (formerly South Nottingham College);451;5412;9250
East Midlands;Chesterfield College;451;5412;9250
East Midlands;Cliff College;451;5412;9250
East Midlands;De Montfort University;451;5412;9250
East Midlands;Derby College;451;5412;9250
East Midlands;University of Derby;451;5412;9250
East Midlands;University of Leicester;451;5412;9250
East Midlands;Leicester College;451;5412;9250
East Midlands;University of Lincoln;451;5412;9250
East Midlands;Lincoln College;451;5412;9250
East Midlands;Loughborough College;451;5412;9250
East Midlands;Loughborough University;451;5412;9250
East Midlands;Moulton College;451;5412;9250
East Midlands;New College Nottingham;451;5412;9250
East Midlands;New College Stamford;451;5412;9250
East Midlands;University of Northampton;451;5412;9250
East Midlands;Northampton College;451;5412;9250
East Midlands;University of Nottingham;451;5412;9250
East Midlands;Nottingham Trent University;451;5412;9250
East Midlands;South Leicestershire College;451;5412;9250
East Midlands;Tresham College of Further and Higher Education;451;5412;9250
East Midlands;West Nottinghamshire College;451;5412;9250
(Greater) London;ABI College;701;8412;9250
(Greater) London;Barnet and Southgate College;701;8412;9250
(Greater) London;Barking and Dagenham College;701;8412;9250
(Greater) London;Birkbeck University of London;701;8412;9250
(Greater) London;Bexley College;701;8412;9250
(Greater) London;BPP University;701;8412;9250
(Greater) London;British College of Osteopathic Medicine;701;8412;9250
(Greater) London;Brooklands College;701;8412;9250
(Greater) London;Brunel University;701;8412;9250
(Greater) London;British School of Osteopathy;701;8412;9250
(Greater) London;Bromley College of Further and;701;8412;9250
(Greater) London;er Education;701;8412;9250
(Greater) London;Capel Manor College;701;8412;9250
(Greater) London;Carshalton College;701;8412;9250
(Greater) London;Central Film School London;701;8412;9250
(Greater) London;The Royal Central School of Speech and Drama;701;8412;9250
(Greater) London;ersity of London;701;8412;9250
(Greater) London;City University of London;701;8412;9250
(Greater) London;City and Islington College;701;8412;9250
(Greater) London;City of London College;701;8412;9250
(Greater) London;Courtauld Institute of Art (University of London);701;8412;9250
(Greater) London;Condé Nast College of Fashion & Design;701;8412;9250
(Greater) London;University Centre Croydon (Croydon College);701;8412;9250
(Greater) London;Ealing Hammersmith and West London College;701;8412;9250
(Greater) London;University of East London;701;8412;9250
(Greater) London;ESCP Europe Business School;701;8412;9250
(Greater) London;Fairfield School of Business;701;8412;9250
(Greater) London;Goldsmiths University;701;8412;9250
(Greater) London;University of Greenwich;701;8412;9250
(Greater) London;GSM London (formerly Greenwich School;701;8412;9250
(Greater) London;anagement);701;8412;9250
(Greater) London;The College of Haringey Enfield and;701;8412;9250
(Greater) London;h East London;701;8412;9250
(Greater) London;Harrow College;701;8412;9250
(Greater) London;Havering College of Further and Higher Education;701;8412;9250
(Greater) London;Hult International Business School;701;8412;9250
(Greater) London;The Institute of Contemporary Music Performance;701;8412;9250
(Greater) London;Istituto Marangoni London;701;8412;9250
(Greater) London;Imperial College London;701;8412;9250
(Greater) London;The London Institute of Banking & Finance;701;8412;9250
(Greater) London;Islamic College for Advanced Studies;701;8412;9250
(Greater) London;Kensington and Chelsea College;701;8412;9250
(Greater) London;Kensington College of Business;701;8412;9250
(Greater) London;King’s College London;701;8412;9250
(Greater) London;Kingston College;701;8412;9250
(Greater) London;Kingston University;701;8412;9250
(Greater) London;KLC School of Design;701;8412;9250
(Greater) London;Lewisham Southwark College;701;8412;9250
(Greater) London;The London College UCK;701;8412;9250
(Greater) London;ARU London;701;8412;9250
(Greater) London;London Metropolitan University;701;8412;9250
(Greater) London;London School of Commerce;701;8412;9250
(Greater) London;London School of Economics and Political Science;701;8412;9250
(Greater) London;versity of London);701;8412;9250
(Greater) London;London School of Business and Management;701;8412;9250
(Greater) London;London South Bank University;701;8412;9250
(Greater) London;London School of Marketing;701;8412;9250
(Greater) London;LCCM (London College of Creative Media);701;8412;9250
(Greater) London;Medipathways College;701;8412;9250
(Greater) London;Met Film School;701;8412;9250
(Greater) London;Middlesex University;701;8412;9250
(Greater) London;Mont Rose College;701;8412;9250
(Greater) London;Newham College London;701;8412;9250
(Greater) London;New College of the Humanities;701;8412;9250
(Greater) London;University of London Institute in Paris (not shown on map);701;8412;9250
(Greater) London;Pearson College;701;8412;9250
(Greater) London;Point Blank Music School;701;8412;9250
(Greater) London;Queen Mary University of London;701;8412;9250
(Greater) London;Ravensbourne;701;8412;9250
