Hochschule,Semesterbeitrag 2019,Semesterbeitrag 2020,Steigerung Beitrag,Inkludiertes Semesterticket,Prozentualer Anteil des Semestertickets
Leibniz Universität Hannover,408.47,439.73,7.65,231.03,52.54
Technische Universität Carolo-Wilhelmina zu Braunschweig,358.77,386.09,7.61,187.99,48.69
Georg-August-Universität Göttingen,355.31,384.66,8.26,193.82,50.39
Johann Wolfgang Goethe-Universität Frankfurt am Main,366.71,369.89,0.87,222.74,60.22
Philipps-Universität Marburg,336.73,338.95,0.66,190.45,56.19
Ruhr-Universität Bochum,332,335.09,0.93,206.97,61.77
Universität Hamburg,328,328,0,177.6,54.15
Johannes Gutenberg-Universität Mainz,322.18,326.11,1.22,215.41,66.05
Universität Duisburg-Essen,313.18,319.11,1.89,208.38,65.3
Universität Paderborn,311.38,318.97,2.44,222.04,69.61
Humboldt-Universität zu Berlin,315.64,315.64,0,201.8,63.93
Technische Universität Dortmund,299.22,314.87,5.23,208.38,66.18
Freie Universität Berlin,311.99,312.89,0.29,198.8,63.54
Universität Bielefeld,304.9,312.29,2.42,203.69,65.22
Heinrich-Heine-Universität Düsseldorf,304.28,311.43,2.35,208.8,67.05
Bergische Universität Wuppertal,305.88,310.38,1.47,208.38,67.14
Rheinische Friedrich-Wilhelms-Universität Bonn,297.82,309.91,4.06,191.2,61.7
Technische Universität Berlin,307.54,307.54,0,193.8,63.02
Universität Potsdam,296.06,304.16,2.74,188.16,61.86
Westfälische Wilhelms-Universität Münster,294.1,301.18,2.41,185.4,61.56
RWTH Aachen (RWTH),285.02,299.38,5.04,194.59,65
Universität Kassel,291.02,293.45,0.83,146.61,49.96
Technische Universität Dresden,281.2,281.1,-0.04,186,66.17
Universität zu Köln,277.05,280.95,1.41,191.2,68.05
Justus-Liebig-Universität Gießen,275.51,277.87,0.86,132.95,47.85
Christian-Albrechts-Universität zu Kiel,259,270.5,4.44,194,71.72
Technische Universität Darmstadt,268.64,270.47,0.68,125.22,46.3
Universität Leipzig,220,236.5,7.5,145,61.31
Martin-Luther-Universität Halle-Wittenberg,216.85,235.35,8.53,143.4,60.93
Universität Stuttgart,188.4,200.4,6.37,46.4,23.15
Ruprecht-Karls-Universität Heidelberg,169.25,171.75,1.48,35.3,20.55
Universität Regensburg,150,162.5,8.33,100.5,61.85
Albert-Ludwigs-Universität Freiburg,155,161,3.87,28,17.39
Eberhard Karls Universität Tübingen,158.3,158.3,0,28.8,18.19
Karlsruher Institut für Technologie,153.69,153.69,0,17.5,11.39
Ludwig-Maximilians-Universität München,129.4,142.4,10.05,67.4,47.33
Technische Universität München,129.4,142.4,10.05,67.4,47.33
Julius-Maximilians-Universität Würzburg,137.9,140.1,1.6,78.1,55.75
Friedrich-Alexander-Universität Erlangen-Nürnberg,118,127,7.63,75,59.06
Universität Augsburg,114.85,117.5,2.31,65.5,55.74
