'Carmarthen', Wales
 'Bradford', England
 'Bolton',  England
 'Carlisle', England
 'Sunderland', England
 'Preston', England
 'Middlesbrough', England
 'Aberystwyth', Wales
 'Inverness', Scotland
 'Stoke-on-Trent', England
 'Huddersfield', England
 'Newport', Wales
 'Wolverhampton', England
 'Luton', England
 'Ipswich', England
 'Chester', England
 'Northampton', England
 'Leicester', England
 'Aberdeen', Scotland
 'Plymouth', England
 'Belfast', Northern Ireland
 'Derby', England
 'Norwich', England
 'Ormskirk', England
 'Keele / Newcastle-under-Lyme', England
 'Swansea', Wales
 'Buckingham', England
 'Dundee', Scotland
 'Worcester', England
 'High Wycombe', England
 'Lincoln', England
 'Liverpool', England
 'Loughborough', England
 'Cheltenham', England
 'Bangor', Wales
 'Sheffield\xa0', England
 'Gillingham', England
 'Lancaster', England
 'Newcastle-upon-Tyne', England
 'Stirling', Scotland
 'Cardiff', Wales
 'Salford', England
 'Colchester', England
 'Hull', England
 'Canterbury', England
 'Coventry', England
 'Hatfield', England
 'Chichester', England
 'Cambridge', England
 'Glasgow', Scotland
 'Bournemouth', England
 'Portsmouth', England
 'Birmingham', England
 'Falmouth', England
 'Durham', England
 'Nottingham', England
 'Southampton', England
 'York', England
 'St Andrews', Scotland
 'Leeds', England
 'Oxford', England
 'Manchester', England
 'Winchester', England
 'Reading', England
 'Bath', England
 'Edinburgh', Scotland
 'Bristol', England
 'Guildford', England
 'Exeter', England
 'Brighton', England
 'South West London', England
 'West London', England
 'Central London', England
 'North London', England
 'South East London', England
 'East London', England]
