Spalte2	Spalte1
Mathematics_and_Natural_Sciences_and_IT	Master's degree • Software Systems Engineering • RWTH Aachen University • Aachen
Mathematics_and_Natural_Sciences_and_IT	Subject
Mathematics_and_Natural_Sciences_and_IT	Computer Science
Mathematics_and_Natural_Sciences_and_IT	Beginning
Mathematics_and_Natural_Sciences_and_IT	Winter semester
Mathematics_and_Natural_Sciences_and_IT	Tuition fees per semester
Mathematics_and_Natural_Sciences_and_IT	none
Mathematics_and_Natural_Sciences_and_IT	Language
Mathematics_and_Natural_Sciences_and_IT	English
Mathematics_and_Natural_Sciences_and_IT	Duration
Mathematics_and_Natural_Sciences_and_IT	4 semesters
Mathematics_and_Natural_Sciences_and_IT	Master's degree • Communications Engineering – Master's Study Programme • RWTH Aachen University • Aachen
Mathematics_and_Natural_Sciences_and_IT	Subject
Mathematics_and_Natural_Sciences_and_IT	Electrical Engineering
Mathematics_and_Natural_Sciences_and_IT	Beginning
Mathematics_and_Natural_Sciences_and_IT	Winter semester, Summer semester
Mathematics_and_Natural_Sciences_and_IT	Tuition fees per semester
Mathematics_and_Natural_Sciences_and_IT	none
Mathematics_and_Natural_Sciences_and_IT	Language
Mathematics_and_Natural_Sciences_and_IT	English
Mathematics_and_Natural_Sciences_and_IT	Duration
Mathematics_and_Natural_Sciences_and_IT	4 semesters
Mathematics_and_Natural_Sciences_and_IT	Master's degree • Physics • RWTH Aachen University • Aachen
Mathematics_and_Natural_Sciences_and_IT	Subject
Mathematics_and_Natural_Sciences_and_IT	Physics, Astronomy
Mathematics_and_Natural_Sciences_and_IT	Beginning
Mathematics_and_Natural_Sciences_and_IT	Winter semester, Summer semester
Mathematics_and_Natural_Sciences_and_IT	Tuition fees per semester
Mathematics_and_Natural_Sciences_and_IT	none
Mathematics_and_Natural_Sciences_and_IT	Language
Mathematics_and_Natural_Sciences_and_IT	English
Mathematics_and_Natural_Sciences_and_IT	Duration
Mathematics_and_Natural_Sciences_and_IT	4 semesters
Mathematics_and_Natural_Sciences_and_IT	Master's degree • MSc Applied Geosciences – Energy & Mineral Resources (EMR) • RWTH Aachen University • Aachen
Mathematics_and_Natural_Sciences_and_IT	Subject
Mathematics_and_Natural_Sciences_and_IT	Earth Sciences (excluding Geography)
Mathematics_and_Natural_Sciences_and_IT	Beginning
Mathematics_and_Natural_Sciences_and_IT	Winter semester, Summer semester
Mathematics_and_Natural_Sciences_and_IT	Tuition fees per semester
Mathematics_and_Natural_Sciences_and_IT	none
Mathematics_and_Natural_Sciences_and_IT	Language
Mathematics_and_Natural_Sciences_and_IT	English
Mathematics_and_Natural_Sciences_and_IT	Duration
Mathematics_and_Natural_Sciences_and_IT	4 semesters
Mathematics_and_Natural_Sciences_and_IT	Master's degree • Computer Engineering – Master's Study Programme • RWTH Aachen University • Aachen
Mathematics_and_Natural_Sciences_and_IT	Subject
Mathematics_and_Natural_Sciences_and_IT	Engineering in general
Mathematics_and_Natural_Sciences_and_IT	Beginning
Mathematics_and_Natural_Sciences_and_IT	Winter semester, Summer semester
Mathematics_and_Natural_Sciences_and_IT	Tuition fees per semester
Mathematics_and_Natural_Sciences_and_IT	none
Mathematics_and_Natural_Sciences_and_IT	Language
Mathematics_and_Natural_Sciences_and_IT	English
Mathematics_and_Natural_Sciences_and_IT	Duration
Mathematics_and_Natural_Sciences_and_IT	4 semesters
Mathematics_and_Natural_Sciences_and_IT	Master's degree • Advanced Computational Methods in Civil Engineering • RWTH Aachen University • Aachen
Mathematics_and_Natural_Sciences_and_IT	Subject
